id,created_at,name,cover,updated_at,artists_id
44,2023-03-27 12:07:00.694785+00,"Peace, Love And Respect",https://i.scdn.co/image/ab67616d00001e02d1c95d09e5ee928c59c7de5a,2023-03-27 12:07:00.694785,14
45,2023-03-27 12:10:27.036139+00,Mohon Ampun,https://i.scdn.co/image/ab67616d00001e02d2a8ad383f71ab251ed8d3ea,2023-03-27 12:10:27.036139,14
46,2023-03-27 12:16:11.201706+00,Kotak Kedua,https://i.scdn.co/image/ab67616d00001e0255fcbac77e9be79cffca62e4,2023-03-27 12:16:11.201706,15
47,2023-03-27 12:18:55.667118+00,Energi,https://i.scdn.co/image/ab67616d00001e02d6a32c560227bb1535d873e1,2023-03-27 12:18:55.667118,15
48,2023-03-27 12:24:26.637891+00,Perubahan,https://i.scdn.co/image/ab67616d00001e025402814b1c779997aa182579,2023-03-27 12:24:26.637891,16
49,2023-03-27 12:39:03.689215+00,Lain Dunia,https://i.scdn.co/image/ab67616d00001e02060db30acf454a0f82a72543,2023-03-27 12:39:03.689215,17
50,2023-03-27 12:42:50.181626+00,Sesuatu Yang Tertunda,https://i.scdn.co/image/ab67616d00001e0225b073e38d5d379f1eec534b,2023-03-27 12:42:50.181626,17
40,2023-03-27 09:58:35.406224+00,Achtung Baby,https://i.scdn.co/image/ab67616d00001e02963a6981d8f6af0a6b8f044e,2023-03-27 09:58:35.406224,10
51,2023-03-27 12:58:20.871694+00,"Tentang Aku, Kau dan Dia",https://i.scdn.co/image/ab67616d00001e0266f611197e5f19f63e1eab16,2023-03-27 12:58:20.871694,18
52,2023-03-27 13:02:21.756415+00,Bintang 14 Hari,https://i.scdn.co/image/ab67616d00001e02ba8d883787d66e655c9b87a6,2023-03-27 13:02:21.756415,18
